1729771937.36388,0,6
1729771947.3648634,498,1676
1729771957.3652134,604,1840
1729771967.3658524,605,1826
1729771977.3669143,607,1825
1729771987.3675914,607,1833
1729771997.3680437,607,1826
1729772007.368539,605,1813
1729772017.3702452,605,1831
1729772027.3713226,606,1832
1729772037.372184,606,1818
1729772047.3729794,606,1830
1729772057.3735557,605,1828
1729772067.374221,605,1823
1729772077.3746982,604,1823
1729772087.3756273,607,1819
1729772097.3764577,604,1829
1729772107.3784559,607,1414
1729772117.3797352,615,1214
1729772127.3804045,610,1234
1729772137.3811471,596,1088
