1729765243.276066,0.00
1729765273.733777,12.00
1729765283.7359257,5862.00
1729765293.7376475,7242.00
1729765303.7394314,7230.00
1729765313.7427588,7260.00
1729765323.7466276,7266.00
1729765333.748531,7254.00
1729765343.7508798,7266.00
1729765353.7533834,7236.00
1729765363.755925,7230.00
1729765373.7594547,7260.00
1729765383.761222,7242.00
1729765393.763563,7260.00
1729765403.7672925,7266.00
1729765413.7682297,7230.00
1729765423.770861,7266.00
1729765433.7738168,7248.00
1729765443.7776284,7266.00
1729765453.7811913,7272.00
1729765463.7848403,7278.00
1729765473.7866263,7254.00
1729765483.8284056,7314.00
1729765493.8304868,7260.00
1729765503.8312705,7266.00
1729765513.8349962,7260.00
1729765523.8361697,7272.00
1729765533.8379319,7248.00
1729765543.8405452,7236.00
1729765553.8434193,7248.00
1729765563.845763,7248.00
1729765573.8476741,7236.00
1729765583.8493602,7260.00
1729765593.853212,7254.00
1729765603.8554914,7230.00
1729765613.8578212,7224.00
1729765623.85945,7224.00
1729765633.8614128,7242.00
1729765643.8636649,7230.00
1729765653.8659854,7254.00
1729765663.8681107,7260.00
1729765673.8700752,7278.00
1729765683.8715851,7260.00
1729765693.8745294,7266.00
1729765703.8768346,7284.00
1729765713.8783524,7284.00
1729765723.8799639,7266.00
1729765733.8820305,7266.00
1729765743.883738,7278.00
1729765753.8851385,7266.00
1729765763.8880343,7278.00
1729767348.6577258,0.00
